Variable;Depth;Value
NH3;0;7.59
NH3;0.5;8.99
NH3;1.5;15.99
NH3;2.5;18.29
NH3;3.5;10.39
NH3;4.5;20.39
NH3;5.5;21.69
NH3;6.5;24.79
NH3;7.5;18.09
NH3;9;13.69
NH3;11;19.59
NH3;0;2.19
NH3;0.5;4.79
NH3;1.5;5.19
NH3;2.5;7.99
NH3;3.5;5.99
NH3;4.5;8.99
NH3;5.5;9.99
NH3;6.5;23.09
NH3;7.5;25.19
NH3;9;34.99
NH3;11;42.89
NH3;0;4.59
NH3;0.5;11.39
NH3;1.5;14.79
NH3;2.5;20.69
NH3;3.5;38.49
NH3;4.5;43.19
NH3;5.5;58.29
NH3;6.5;46.19
NH3;7.5;47.09
NH3;9;63.69
NH3;11;56.89
NO3;0;13.2
NO3;0.5;4.3
NO3;1.5;2.5
NO3;2.5;2.3
NO3;3.5;6.3
NO3;4.5;0.9
NO3;5.5;1.3
NO3;6.5;2
NO3;7.5;1.5
NO3;9;3.9
NO3;11;2
NO3;0;10.7
NO3;0.5;3
NO3;1.5;1.7
NO3;2.5;1.8
NO3;3.5;0.8
NO3;4.5;1.5
NO3;5.5;1.3
NO3;6.5;1.8
NO3;7.5;1.8
NO3;9;0.9
NO3;11;0.5
NO3;0;15.6
NO3;0.5;4.9
NO3;1.5;3.8
NO3;2.5;5
NO3;3.5;2
NO3;4.5;1.9
NO3;5.5;2.5
NO3;6.5;2.9
NO3;7.5;2.4
NO3;9;1.3
NO3;11;1.2
PO4;0;1.1
PO4;0.5;2.75
PO4;1.5;4.1
PO4;2.5;7.75
PO4;3.5;3.6
PO4;4.5;10.35
PO4;5.5;8.75
PO4;6.5;14.4
PO4;7.5;12
PO4;9;4.05
PO4;11;3.65
PO4;0;1.3
PO4;0.5;3.3
PO4;1.5;4.5
PO4;2.5;3.55
PO4;3.5;4.35
PO4;4.5;5.95
PO4;5.5;6.9
PO4;6.5;8
PO4;7.5;7
PO4;9;10.9
PO4;11;12.95
PO4;0;1.75
PO4;0.5;6.9
PO4;1.5;2.95
PO4;2.5;11.25
PO4;3.5;16.25
PO4;4.5;15.25
PO4;5.5;10.05
PO4;6.5;13.3
PO4;7.5;18
PO4;9;14.2
PO4;11;12.75
